cohesion_kpa,friction_deg,slope_angle_deg,pore_pressure_ratio,density_kg_m3,charge_weight_kg,distance_m,burden_m,spacing_m,joint_spacing_m,joint_dip_deg,joint_persistence_pct,displacement_m,ppv_mm_s,damage_zone_m,fos_static,fos_method_a,fos_method_b
507.4,31.81,62.29,0.269916311998939,2134.94290970391,2744.4328271639,17.145,3.548,6.264,0.592522049060297,81.35,82.72,0.024768,361.09,0.175,2.69,0.968,0.807
438.1,26.995,46.84,0.352823251299154,2005.15599452033,2511.71087906533,12.0,3.542,4.688,2.5953504365305,80.85,67.5399999999999,0.057729,321.49,0.386,2.169,0.754,0.651
344.299999999999,37.195,49.12,0.351522322074078,2426.44153050137,1694.06906816609,35.975,7.064,4.848,1.76974889083485,37.05,91.0,0.00919,180.08,0.067,1.644,1.249,1.016
655.099999999999,38.695,64.42,0.330293451578806,2575.94952062365,1827.88791505006,7.975,5.59399999999999,4.608,0.568200767053655,45.5,68.74,0.114819,479.71,0.771,3.0,0.5,0.9
244.2,39.22,52.66,0.114221381764884,2342.17320186991,641.199814076249,12.14,5.282,8.312,3.62738228119238,80.25,44.38,0.170393,496.3,1.041,1.47,0.5,0.5
233.7,25.63,57.82,0.165399483228662,2865.5596403313,2571.99819334081,21.975,3.536,5.616,1.35803183258409,77.4,65.68,0.032784,383.98,0.218,1.02,0.915,0.5
419.2,28.255,69.4,0.2054869442102,2957.04696596677,3234.73677921462,13.155,4.316,7.352,1.07307045548606,53.95,54.88,0.060253,451.54,0.384,1.989,0.738,0.603
168.6,34.465,62.8,0.141455279522851,2963.38929561404,840.942671287155,13.89,7.892,2.208,1.73446591934267,58.55,85.96,0.0931,380.72,0.666,0.897,0.541,0.5
730.699999999999,25.69,53.02,0.188558063011971,2732.66519722069,4312.70958296121,22.99,4.388,2.08,4.0833985636064,62.75,95.2,0.009374,402.58,0.069,2.657,1.238,0.842
772.699999999999,31.915,45.91,0.266724569415536,2658.64591724133,4382.84885164046,5.35,4.556,5.96,2.50042151806472,43.95,82.5399999999999,0.143656,335.89,1.015,2.913,0.5,0.874
788.8,39.94,42.79,0.208524322115692,2100.03142918568,4017.00708207766,27.365,6.578,2.712,1.87874365952082,43.1,57.04,0.013857,371.22,0.089,3.0,1.123,1.116
502.5,37.75,49.6,0.360071829234893,2948.87389007756,2676.46919502693,36.71,4.052,9.824,3.14549687401631,76.75,84.6999999999999,0.007537,253.29,0.054,1.888,1.348,0.668
718.8,37.81,60.73,0.332344461834309,2456.01135364476,2559.01362783056,27.715,2.222,2.624,0.719756895898999,60.6,70.12,0.011033,201.52,0.075,3.0,1.179,0.959
228.1,29.98,63.76,0.282557334818341,2562.13637147558,2770.61688184811,8.15,7.622,9.952,3.90218838258074,68.9,59.68,0.259728,413.35,1.686,1.158,0.5,0.5
755.9,32.89,59.53,0.167448856724586,2253.31692200515,625.424726235175,6.82,7.028,2.232,4.30624630475837,82.6,99.94,0.071927,348.52,0.539,3.0,0.668,0.9
284.1,31.15,52.87,0.237656843845085,2502.30952761628,2865.93332172712,27.26,3.422,3.168,1.64784463854737,43.55,61.48,0.021333,263.86,0.139,1.351,0.991,0.5
644.599999999999,31.585,47.17,0.211042349809959,2468.22359583851,2174.03106656861,25.3,7.094,2.512,3.70079571449616,63.35,43.96,0.01707,264.08,0.104,2.675,1.059,1.134
358.3,25.72,60.97,0.259117733454562,2784.1815977168,3878.62440371472,34.89,2.876,7.096,3.18535110059737,75.4,88.0,0.008161,217.88,0.059,1.486,1.31,0.508
161.6,36.115,65.35,0.153775295945656,2501.53609636634,3142.54161243515,20.12,6.218,8.28,3.81311159841656,46.15,59.62,0.071615,394.95,0.465,1.007,0.67,0.5
634.8,30.52,56.86,0.1435265312762,2246.42818414831,4009.14086661986,10.425,5.786,5.992,4.80523064595526,41.45,51.4,0.073068,380.83,0.459,2.952,0.662,0.941
786.0,36.43,65.2899999999999,0.225687871776288,2860.77552761669,1613.53862580321,23.97,2.168,2.984,3.26174681328955,73.4,52.96,0.017017,248.14,0.108,3.0,1.06,1.164
217.6,32.335,47.44,0.3605714091909,2937.91429880656,1958.72825251552,6.75,6.512,2.936,4.39874267815522,77.9,69.16,0.364995,442.43,2.456,1.003,0.5,0.5
665.599999999999,27.28,52.6,0.281755377354609,2218.64963289904,2509.60990382202,36.745,2.534,5.088,2.36955090966287,63.2,72.4,0.00713,228.13,0.049,2.924,1.372,1.16
137.1,30.82,43.93,0.355042149194458,2471.9698788267,4042.19102702498,25.895,5.768,6.672,3.30210883028959,71.5,43.78,0.059164,495.41,0.361,0.871,0.745,0.5
622.199999999999,27.745,54.64,0.244363189516682,2547.67157319559,3121.16545055358,13.785,2.69,5.312,4.95341348954817,84.45,74.74,0.030571,416.24,0.21,2.48,0.93,0.747
579.5,33.31,41.08,0.228286939876225,2138.36362960237,2153.12043221835,12.665,2.672,3.704,4.16105223601677,58.3,96.64,0.031751,371.96,0.235,2.906,0.922,0.872
303.7,32.545,59.83,0.348671762926628,2943.8297418037,3044.92301492208,19.385,2.924,3.752,4.22488059813583,51.7,67.36,0.036202,392.5,0.242,1.25,0.892,0.5
